id,model_name,dropout,size,batch_size_t,batch_size_v,n_targets,criterion,gradient_accumulation_steps,max_gradient_norm,optimizer,scheduler,LR,T_0,T_max,T_mult,min_lr,max_lr,no_batches,warmup_epochs,cosine_epochs,epochs,update_per_batch,num_workers,n_folds,train_transforms,valid_transforms,observations,use_swa,swa_lr,swa_epoch,use_sam,use_asam,asam_rho,print_freq,one_fold,use_apex,distributed_training,save_to_log,oof-accuracy,oof-precision,oof-recall,cross-validation,public-leaderboard
32,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,7e-05,200,10,2,1e-06,0.0003499999999999,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.306258064516129,0.5219365748111191,0.306258064516129,[0.6280645161290322],0
33,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,0.0001,200,10,2,1e-06,0.0005,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2919354838709677,0.4598671378479669,0.2919354838709677,[0.5564516129032258],0
34,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,0.0003,200,10,2,1e-06,0.0014999999999999,2480,1,14,15,True,4,5,[],[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2258064516129032,0.0509885535900104,0.2258064516129032,[0.22580645161290322],0
35,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,7e-06,200,10,2,1e-06,3.5e-05,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3241290322580645,0.605984435793076,0.3241290322580645,[0.7174193548387097],0
36,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,1e-05,200,10,2,1e-06,5e-05,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.318,0.5919336216100256,0.318,[0.6867741935483871],0
37,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,3e-05,200,10,2,1e-06,0.00015,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.3294838709677419,0.6357226405951615,0.3294838709677419,[0.7441935483870967],0
38,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,5e-05,200,10,2,1e-06,0.00025,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.308,0.564415615097635,0.308,[0.636774193548387],0
39,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,7e-05,200,10,2,1e-06,0.0003499999999999,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2983225806451613,0.4902035595041539,0.2983225806451613,[0.5883870967741935],0
40,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,0.0001,200,10,2,1e-06,0.0005,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.2810967741935484,0.3902116599053635,0.2810967741935484,[0.502258064516129],0
41,swin_large_patch4_window12_384_in22k,0.5,384,5,8,5,CrossEntropyLoss,1,,AdamW,OneCycleLR,0.0003,200,10,2,1e-06,0.0014999999999999998,2480,1,14,15,True,4,5,"[HorizontalFlip(always_apply=False, p=0.5), VerticalFlip(always_apply=False, p=0.5), RandomRotate90(always_apply=False, p=0.5)]",[],,True,0.01,0,True,True,0.1,50,True,True,False,True,0.22580645161290322,0.0509885535900104,0.22580645161290322,[0.22580645161290322],0
